configuration,Recall,Precision,F1
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.79,0.82,0.8
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.4, ""classifier"": ""SVM""}_",0.72,0.74,0.72
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.67,0.71,0.68
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.4, ""classifier"": ""NaiveBayes""}_",0.72,0.71,0.7
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.76,0.75,0.75
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.4, ""classifier"": ""MLP""}_",0.76,0.77,0.76
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.17,0.11,0.11
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.4, ""classifier"": ""SVM""}_",0.12,0.17,0.11
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.14,0.14,0.13
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.4, ""classifier"": ""NaiveBayes""}_",0.16,0.18,0.14
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.19,0.18,0.18
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.4, ""classifier"": ""MLP""}_",0.14,0.16,0.15
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.77,0.79,0.77
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.4, ""classifier"": ""SVM""}_",0.77,0.79,0.77
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.63,0.64,0.63
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.4, ""classifier"": ""NaiveBayes""}_",0.65,0.63,0.63
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.77,0.74,0.74
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.4, ""classifier"": ""MLP""}_",0.74,0.75,0.74
